Name;Preis;Warung
210. Fresh Lemon;5,2;€						
211. Grass Lemon;5,2;€						
212. Litschi Lemon;5,2;€						
213. Himbeer Lemon;5,2;€						
214. Aloe Lemon;5,2;€						
215. Ginger Lemon;5,2;€						
216. Mango Lemon;5,2;€						
217. Tra Dao Cam Sa;5,9;€						
218. Hugo;6,5;€						
219. Aperol Spritz;6,5;€						
220. Lillet Wildberry;6,5;€						
221. Lillet Vive;6,5;€						
222. Elderflower Prosecco;6,9;€						
223. Bombay Gin Tonic;7,5;€						
224. Roku Gin Tonic;8,5;€						
225. Whisky Cola;6,9;€						
226. Cuba Libre;6,9;€						
227. Ingwer Tee;3,9;€						
228. Grüntee;3,9;€						
229. Jasmin Tee;3,9;€						
230. Minztee;3,9;€						
231. Kamile Tee;3,9;€						
232. Japan Sencha Grüner Tee;4,5;€						
233. Kaffee Crema;3,2;€						
234. Espresso;2,8;€						
235. Doppel Espresso;4,9;€						
236. Capuchino;3,8;€						
237. Latte Machiato;4;€						
238. Vietnamesischer Kaffee;3,5;€						
249. Flasche Wasser(0,75l);5,9;€						
266. Bitburger Alkoholfrei (0,33l);3,5;€						
267. Erdinger Hefe Hell	(0,5l);4,5;€						
268. Erdinger Hefe Kristall (0,5l);4,5;€						
269. Erdinger Alkoholfrei (0,5l);4,5;€						
270. Saigon Bier (0,33l);3,5;€						
271. Asahi Bier	(0,33l);4,9;€
272. Pina Colada;7,5;€						
273. Swimming Pool;7,5;€						
274. Lychee Sour;7,5;€						
275. Mojito;7,5;€						
276. Moscow Mule;7,5;€						
277. Caipirinha;7,5;€						
278. Exotic Fruit;6,5;€						
279. Blue Ice Tea;6,5;€						
280. Virgin Colada;6,5;€						
281. Weißwein;5,2;€						
282. Rose;5,2;€						
283. Rotwein;5,2;€						
284. Flaschenwein;19,5;€						
285. Kwei Lychee Likör;3,8;€						
286. Bombay Sapphire Gin;4,5;€						
287. Vodka Absolut;4,5;€						
288. Johnnie Walker;4,9;€						
289. Roku (Japanese);4,9;€						
290. Ramazotti;4,9;€						
291. Sake;5,5;€	
250. Mango;5,2;€						
251. Litschi;5,2;€						
252. Himbeere;5,2;€

